Entity1,Relationship,Entity2
pristina airport,involves,vendor 1
pristina airport,involves,vendor 2
vendor 1,owned by,the same owner
vendor 2,owned by,the same owner
vendor 1,submitted,three tenders
vendor 2,submitted,three tenders
vendor 1,is a,51% shareholder of vendor 2
vendor 1,is the,owner and director of vendor 1
vendor 1,won,tender for sonic system
vendor 2,won,tender for sonic system
vendor 1,won,tender for flat display information system
vendor 2,won,tender for flat display information system
vendor 1,won,tender for cramer antenna
vendor 2,won,tender for cramer antenna
vendor 3,competed against,vendor 1
vendor 3,competed against,vendor 2
vendor 4,competed against,vendor 1
vendor 4,competed against,vendor 2
vendor 1,took part together in,vendor 2
vendor 1,put at a disadvantage,other competitors
vendor 2,put at a disadvantage,other competitors
vendor 3,exist,vendor 4
vendor 3,submitted bids for,three tenders
vendor 4,submitted bids for,three tenders
itf investigation,found no reference with regard to,vendor 4
vendor 3,was found to be,supermarket
supermarket,located in,prizren
itf case no 28604,submitted to,international prosecutor
international prosecutor,part of,unmik department of justice
itf,contacted,international prosecutor
this case,would be a breach of,economic law
there is,no applicable law in,kosovo
interoffice memorandum,providing update to,official 2
doti official 3,providing update to,staff member 1
staff member 1,at,office of official 2
interoffice memorandum,dated,18-May-01
offers,provided by,companies
vendor,chosen for,works
interoffice memorandum,incorrectly dated,document
document,contains reference dates relating to,project events
project events,post date,18-May-01
interoffice memorandum,states,cargo apron invitation to tender
cargo apron invitation to tender,based on,summary documents
bid opening committee,overlapped with,evaluation committee
evaluation report,dated,2-Aug-01
evaluation report,signed by,three parties
three parties,attended,bid opening session
doti official 2,confirmed,was on bid opening committee
doti official 2,confirmed,was a member of evaluation committee
people who evaluated the offers,signed,evaluation report
un regulations,segregate,two roles
interoffice memorandum,dated,24-Sep-01
contract for the cargo apron extension,not channeled through,office of the legal adviser
divisional manager,stated,conflict of interest
report,produced by,professional pavement engineer
professional pavement engineer,works at,laboratory
itf,notes,peap official
peap official,indicated,unhappiness about vendor self-certifying its work
airport engineer,should have questioned,vendor self-certifying its work
itf,does not have,sufficient technical knowledge
divisional manager,wrote letter to,staff member 3
letter,dated,25-Aug-02
letter,gives rise to,possibility that it was not up to specification
investigation,relates to,tender
tender,for,contract
contract,for,extension of the cargo terminal apron
extension of the cargo terminal apron,at,pristina airport
contract,value,77431863
tender documents,did not comply with,requirements of article 234
article 234,of,unmik finance administrative instruction 19992
unmik finance administrative instruction 19992,on,public procurement
public procurement,using,kosovo consolidated budget funds
tender documents,were based on,summary documents
summary documents,did not include,clear instructions on drawings and plans
note,from,project engineer
project engineer,at,evaluation company
evaluation company,to,peap official
note,dated,31-Jan-01
evaluation company,was commissioned to produce,preliminary design
preliminary design,for,cargo terminal
preliminary design,at,pristina airport
design,provided for,construction of the cargo apron extension
cargo apron extension evaluation report,dated,2-Aug-01
the committee,notes,bidding documents
bidding documents,did not include,clear instructions on drawing and plans
the committee,recommended,negotiations with the lowest bidder
the lowest bidder,is,the vendor
the two documents,suggest,tender documents
tender documents,did not comply with,article 233
article 233,is part of,unmik finance administrative instruction 19992
unmik finance administrative instruction 19992,is about,public procurement
public procurement,uses,kosovo consolidated budget funds
doti official 2,conceded,tender documents were technically deficient
tender specifications,did not comply with,article 233
Pristina Airport,was entrusted to,Civil Administration Pillar II of UNMIK
Civil Administration Pillar II of UNMIK,included,Official 1
Civil Administration Pillar II of UNMIK,included,Official 2
Pillar II,supervised,Doti Official 1
Doti Official 1,was part of,Department of Transport and Infrastructure
Department of Transport and Infrastructure,was later known as,Transport Sector of UNMIK Directorate of Infrastructure Affairs
Doti Official 1,left,UNMIK
Doti Official 2,was recruited by,Doti
Doti Official 2,was in charge of,Airport Operations
Doti Official 2,reported to,Doti Official 1
Doti Official 2,continued in this role until,30-Sep-01
Engineering expertise,was provided by,Engineers seconded from Armed Forces of a United Nations Member State
Engineers,included,Airport Engineer 1
Engineers,included,Airport Engineer 2
