0,pristina airport,involves,vendor 1
0,pristina airport,involves,vendor 2
0,vendor 1,owned by,the same owner
0,vendor 2,owned by,the same owner
0,vendor 1,submitted,three tenders
0,vendor 2,submitted,three tenders
0,vendor 1,is the,owner and director of vendor 1
0,vendor 1,won,tender for sonic system
0,vendor 2,won,tender for sonic system
0,vendor 1,won,tender for flat display information system
0,vendor 2,won,tender for flat display information system
0,vendor 1,won,tender for cramer antenna
0,vendor 2,won,tender for cramer antenna
0,vendor 3,competed against,vendor 1
0,vendor 3,competed against,vendor 2
0,vendor 4,competed against,vendor 1
0,vendor 4,competed against,vendor 2
1,vendor 1,took part together in,vendor 2
1,vendor 1,put at a disadvantage,other competitors
1,vendor 2,put at a disadvantage,other competitors
1,vendor 3,exist,vendor 4
1,vendor 3,submitted bids for,three tenders
1,vendor 4,submitted bids for,three tenders
1,itf investigation,found no reference with regard to,vendor 4
1,vendor 3,was found to be,supermarket
1,supermarket,located in,prizren
1,itf case no 28604,submitted to,international prosecutor
1,international prosecutor,part of,unmik department of justice
1,itf,contacted,international prosecutor
1,this case,would be a breach of,economic law
1,there is,no applicable law in,kosovo
2,interoffice memorandum,providing update to,official 2
2,doti official 3,providing update to,staff member 1
2,staff member 1,at,office of official 2
2,offers,provided by,companies
2,vendor,chosen for,works
2,interoffice memorandum,incorrectly dated,document
2,document,contains reference dates relating to,project events
2,interoffice memorandum,states,cargo apron invitation to tender
2,cargo apron invitation to tender,based on,summary documents
3,bid opening committee,overlapped with,evaluation committee
3,evaluation report,signed by,three parties
3,three parties,attended,bid opening session
3,doti official 2,confirmed,was on bid opening committee
3,doti official 2,confirmed,was a member of evaluation committee
3,people who evaluated the offers,signed,evaluation report
3,un regulations,segregate,two roles
3,contract for the cargo apron extension,not channeled through,office of the legal adviser
4,divisional manager,stated,conflict of interest
4,report,produced by,professional pavement engineer
4,professional pavement engineer,works at,laboratory
4,itf,notes,peap official
4,itf,does not have,sufficient technical knowledge
4,divisional manager,wrote letter to,staff member 3
4,letter,gives rise to,possibility that it was not up to specification
5,investigation,relates to,tender
5,tender,for,contract
5,contract,for,extension of the cargo terminal apron
5,extension of the cargo terminal apron,at,pristina airport
5,contract,value,77431863
5,tender documents,did not comply with,requirements of article 234
5,article 234,of,unmik finance administrative instruction 19992
5,unmik finance administrative instruction 19992,on,public procurement
5,public procurement,using,kosovo consolidated budget funds
5,tender documents,were based on,summary documents
5,summary documents,did not include,clear instructions on drawings and plans
5,note,from,project engineer
5,project engineer,at,evaluation company
5,evaluation company,to,peap official
5,evaluation company,was commissioned to produce,preliminary design
5,preliminary design,for,cargo terminal
5,preliminary design,at,pristina airport
5,design,provided for,construction of the cargo apron extension
6,the committee,notes,bidding documents
6,bidding documents,did not include,clear instructions on drawing and plans
6,the committee,recommended,negotiations with the lowest bidder
6,the lowest bidder,is,the vendor
6,the two documents,suggest,tender documents
6,tender documents,did not comply with,article 233
6,article 233,is part of,unmik finance administrative instruction 19992
6,unmik finance administrative instruction 19992,is about,public procurement
6,public procurement,uses,kosovo consolidated budget funds
6,doti official 2,conceded,tender documents were technically deficient
6,tender specifications,did not comply with,article 233
7,Pristina Airport,was entrusted to,Civil Administration Pillar II of UNMIK
7,Civil Administration Pillar II of UNMIK,included,Official 1
7,Civil Administration Pillar II of UNMIK,included,Official 2
7,Pillar II,supervised,Doti Official 1
7,Doti Official 1,was part of,Department of Transport and Infrastructure
7,Department of Transport and Infrastructure,was later known as,Transport Sector of UNMIK Directorate of Infrastructure Affairs
7,Doti Official 1,left,UNMIK
7,Doti Official 2,was recruited by,Doti
7,Doti Official 2,was in charge of,Airport Operations
7,Doti Official 2,reported to,Doti Official 1
7,Engineering expertise,was provided by,Engineers seconded from Armed Forces of a United Nations Member State
7,Engineers,included,Airport Engineer 1
7,Engineers,included,Airport Engineer 2
7,Engineers,included,Airport Engineer 3
7,Consultant,was from,Consulting Company
7,Responsibility for the administration of the airport,passed from,Pillar II
7,Pillar IV,was under,Divisional Manager
7,Divisional Manager,had under him,PEAP Official
7,Divisional Manager,had under him,ATCS Official
7,Pristina International Airport,was handed over to,Civilian Jurisdiction
7,Civilian Jurisdiction,was under,ICAO Regulations
8,investigation,conducted pursuant to,executive decision no 200316
8,investigation task force,conducted,enquiry
8,enquiry,into,allegations
8,allegations,raised by,interviews
8,interviews,with,persons indicated to be witnesses
8,persons indicated to be witnesses,and,persons potentially implicated
8,persons potentially implicated,in,allegations
8,documents,obtained from,pristina airport administration
8,documents,obtained from,pillar iv
8,documents,analysed for relevance to,inquiry
8,pristina international airport,constitutes,state owned enterprise
8,pristina international airport,under,yugoslavian law
8,assets of the airport,include,runways
8,assets of the airport,include,terminal buildings
8,assets of the airport,include,hanger
8,assets of the airport,include,fuel storage facilities
8,assets of the airport,include,equipment
8,public enterprise airport pristina,maintained by,military units of the kosovo force
8,military units of the kosovo force,pursuant to,united nations security council resolution 1244
8,unmik,mandated to administer,territory of kosovo
8,unmik,includes,state owned and publicly owned assets
8,state owned and publicly owned assets,includes,pristina international airport
9,vendor,produced,test results
9,vendor,confirmed,quality of its own work
9,vendor,worked on,cargo apron
9,interoffice memorandum,from,staff member 2
9,interoffice memorandum,to,procurement official
9,interoffice memorandum,signed by,doti official 1
9,doti official 1,authorised,soil stabilisation work
9,memorandum,adds that,work was inadvertently not included in the original contract
9,doti official 2,told,itf
9,doti official 2,had to organise,geographical survey
9,geographical survey,allowed,cargo apron tender to progress
9,tests,were done,tender could go ahead
9,evaluation report,suggests that,information on the nature of the ground does not appear to have been included in the tender documents
9,letter,from,vendor
9,letter,to,unmik
9,letter,to,peap
9,letter,not received at,unmik
9,letter,not received at,peap
9,letter,according to,manuscript note signed by airport engineer 1
9,manuscript note,signed by,airport engineer 1
9,letter,suggests that,vendor carried out its own soil tests
10,doti official 2,explained,technical details of the cargo apron extension project
10,technical details of the cargo apron extension project,were taken from,cargo terminal study
10,cargo terminal study,produced by,evaluation company
10,evaluation company,pasted into,tender document specifications
10,company winning the tender,to demonstrate,specification
10,doti official 2,who arrived shortly after,tender
10,airport engineer 1,had been angry with,evaluation company
10,doti official 2,to send out,excerpts of their study
10,excerpts of their study,as,tender specifications
10,airport engineer 1,had also expressed concern at,method used for preparing the tender documents
10,tenders,did not contain,sufficient detail
10,doti official 2,stated that,evaluation company
10,evaluation company,had been asked to prepare,tender documents
10,tender documents,would have cost,more money
10,doti official 2,had therefore prepared,tender documents
10,tender documents,sent to,procurement official
10,procurement official,to review and help,procurement exercise
10,assistance,was provided primarily by,cpe procurement officer
10,assistance,was provided to a lesser extent by,procurement official
10,procurement documents,and,rules
10,doti official 2,expressed the view that,neither procurement official nor cpe procurement officer
10,procurement official,would have had,technical expertise
10,procurement officer,would have had,time to review technical specifications
10,doti official 2,emphasised that,no engineering expert
10,no engineering expert,to support,hisher work
10,hisher work,made,very difficult
11,doti official 2,is responsible for,shortcomings in the tender documents
11,doti official 1,must bear responsibility with,cpe
11,shortcomings in the tender documents,prejudiced,some companies
11,some companies,submitted bids for,the tenders
11,three persons,attended,the bid opening session
11,three persons,were on,the tender evaluation committee
11,contract for the cargo apron extension,was not channelled through,the office of the legal adviser
11,vendor,produced,bearing capacity report for the cargo apron
11,vendor,self certifying,its own work
11,self certifying,presented,potential conflict of interest
12,US National Security Agency,derived from,intelligence intercepts
